cookie_info,Domain,Description,category,Categorization,Expiry Date
__aza_perm,Azalead Publisher,,Azalead Publisher,Targeting/Advertentie,1 jaar
__Secure-3PAPISID,.google.com,"Gebruikt voor targetingdoeleinden om een profiel op te bouwen van de interesses van de websitebezoeker, om vervolgens relevante, gepersonaliseerde Google-advertenties te tonen",Google,Targeting/Advertentie,1 jaar 10 maanden 24 dagen
__Secure-3PSID,.google.com,"Gebruikt voor targetingdoeleinden om een profiel op te bouwen van de interesses van de websitebezoeker, om vervolgens relevante, gepersonaliseerde Google-advertenties te tonen",Google,Targeting/Advertentie,1 jaar 11 maanden 27 dagen
__Secure-APISID,.google.com,"Gebruikt voor targetingdoeleinden om een profiel op te bouwen van de interesses van de websitebezoeker, om vervolgens relevante, gepersonaliseerde Google-advertenties te tonen",Google,Targeting/Advertentie,6 maanden 17 dagen
__Secure-HSID,.google.com,"We gebruiken beveiligingscookies om gebruikers te verifiëren, frauduleus gebruik van inloggegevens te voorkomen en gebruikersgegevens te beschermen tegen toegang door onbevoegden",Google,Noodzakelijk,6 maanden 17 dagen
__Secure-SSID,.google.com,"We gebruiken beveiligingscookies om gebruikers te verifiëren, frauduleus gebruik van inloggegevens te voorkomen en gebruikersgegevens te beschermen tegen toegang door onbevoegden",Google,Noodzakelijk,6 maanden 17 dagen
__utma,.capgemini.com,Gebruikt om gebruikers en sessies van elkaar te onderscheiden. Het cookie wordt aangemaakt als de JavaScript-bibliotheek wordt uitgevoerd en er geen bestaande __utma-cookies zijn. Het cookie wordt telkens bijgewerkt als er gegevens naar Google Analytics worden verstuurd.,Google Analytics,Statistiek,1 jaar 11 maanden 24 dagen
__utmv,.capgemini.com,Gebruikt om aangepaste variabele gegevens op bezoekersniveau te bewaren. Dit cookie wordt aangemaakt als een ontwikkelaar de methode _setCustomVar gebruikt met een aangepaste variabele op bezoekersniveau. Dit cookie wordt ook gebruikt voor de verouderde methode _setVar. Het cookie wordt telkens bijgewerkt als er gegevens naar Google Analytics worden verstuurd.,Google Analytics,Statistiek,1 jaar 11 maanden 24 dagen
__utmz,.capgemini.com,Hiermee wordt de verkeersbron of campagne bewaard waarmee de gebruiker op de site is beland. Het cookie wordt aangemaakt als de JavaScript-bibliotheek wordt uitgevoerd en wordt telkens bijgewerkt als er gegevens naar Google Analytics worden verstuurd.,Google Analytics,Statistiek,5 maanden 24 dagen
_fbp,.capgemini.com,"Gebruikt door Facebook om een reeks reclameproducten aan te bieden, zoals realtime bidding door externe adverteerders",facebook,Targeting/Advertentie,2 maanden 30 dagen
_fbp,Facebook,"Gebruikt door Facebook om een reeks reclameproducten aan te bieden, zoals real-time bidding door externe adverteerders.",Facebook,Targeting/Advertentie,3 maanden
_ga,.capgemini.com,Gebruikt om gebruikers van elkaar te onderscheiden.,Google Analytics,Statistiek,1 jaar 11 maanden 30 dagen
_ga,Google Analytics,Hiermee wordt een unieke ID geregistreerd waarmee statistische gegevens worden gegenereerd over hoe de bezoeker de website gebruikt.,Google Analytics,Statistiek,2 jaar
_gac_UA-105264421-1,.capgemini.com,"Bevat campagnegerelateerde informatie voor de gebruiker. Als u uw Google Analytics- en Google Ads-accounts heeft gekoppeld, lezen websiteconversietags van Google Ads dit cookie, tenzij u zich hiervoor afmeldt.",Google Analytics,Targeting/Advertentie,2 maanden 3 dagen
