Nome del cookie,Dominio,Descrizione,Categoria,Tipologia,Data di scadenza
__aza_perm,Azalead Publisher,,Azalead Publisher,Targeting/Advertising,1 anno
__Secure-3PAPISID,.google.com,Utilizzato a scopo di targeting per creare un profilo degli interessi dei visitatori del sito web e mostrare pubblicità Google pertinenti e personalizzate.,Google,Targeting/Advertising,1 anno 10 mesi 24 giorni
__Secure-3PSID,.google.com,Utilizzato a scopo di targeting per creare un profilo degli interessi dei visitatori del sito web e mostrare pubblicità Google pertinenti e personalizzate.,Google,Targeting/Advertising,1 anno 11 mesi 27 giorni
__Secure-APISID,.google.com,Utilizzato a scopo di targeting per creare un profilo degli interessi dei visitatori del sito web e mostrare pubblicità Google pertinenti e personalizzate.,Google,Targeting/Advertising,6 mesi 17 giorni
__Secure-HSID,.google.com,"Utilizziamo i cookie di sicurezza per autenticare gli utenti, prevenire l'uso fraudolento delle credenziali di accesso e proteggere i dati degli utenti da parti non autorizzate.",Google,Necessary,6 mesi 17 giorni
__Secure-SSID,.google.com,"Utilizziamo i cookie di sicurezza per autenticare gli utenti, prevenire l'uso fraudolento delle credenziali di accesso e proteggere i dati degli utenti da parti non autorizzate.",Google,Necessary,6 mesi 17 giorni
__utma,.capgemini.com,Utilizzato per distinguere utenti e sessioni. Il cookie viene creato quando viene eseguita la libreria javascript e non esistono cookie __utma precedenti. Il cookie viene aggiornato ogni volta che i dati vengono inviati a Google Analytics.,Google Analytics,Statistic,1 anno 11 mesi 24 giorni
__utmv,.capgemini.com,Utilizzato per archiviare dati variabili personalizzati a livello di visitatore. Questo cookie viene creato quando uno sviluppatore utilizza il metodo _setCustomVar con una variabile personalizzata a livello di visitatore. Questo cookie è stato utilizzato anche per il metodo obsoleto _setVar. Il cookie viene aggiornato ogni volta che i dati vengono inviati a Google Analytics.,Google Analytics,Statistic,1 anno 11 mesi 24 giorni
__utmz,.capgemini.com,Memorizza la fonte di traffico o la campagna attraverso cui l'utente ha raggiunto il sito. Il cookie viene creato quando viene eseguita la libreria javascript e viene aggiornato ogni volta che i dati vengono inviati a Google Analytics.,Google Analytics,Statistic,5 mesi 24 giorni
_fbp,.capgemini.com,Utilizzato da Facebook per offrire una serie di prodotti pubblicitari come le offerte in tempo reale di inserzionisti di terze parti.,facebook,Targeting/Advertising,2 mesi 30 giorni
_fbp,Facebook,Utilizzato da Facebook per offrire una serie di prodotti pubblicitari come le offerte in tempo reale di inserzionisti di terze parti.,Facebook,Targeting/Advertising,3 mesi
_ga,.capgemini.com,Utilizzato per distinguere gli utenti.,Google Analytics,Statistic,1 anno 11 mesi 30 giorni
_ga,Google Analytics,Registra un ID univoco utilizzato per generare dati statistici su come il visitatore utilizza il sito web.,Google Analytics,Statistic,2 anni
_gac_UA-105264421-1,.capgemini.com,"Contiene informazioni relative alla campagna per l'utente. Se hai collegato i tuoi account Google Analytics e Google Ads, i tag di conversione del sito web di Google Ads leggeranno questo cookie a meno che tu non li disattivi.",Google Analytics,Targeting/Advertising,2 mesi 3 giorni
_gac_UA-105331519-21,.capgemini.com,"Contiene informazioni relative alla campagna per l'utente. Se hai collegato i tuoi account Google Analytics e Google Ads, i tag di conversione del sito web di Google Ads leggeranno questo cookie a meno che tu non li disattivi.",Google Analytics,Targeting/Advertising,2 mesi 3 giorni
