Nome,Domínio,Descrição,Category,Categorization,Data de validade
__aza_perm,Editora Azalead,,Editora Azalead,Targeting/Publicidade,1 ano
__Secure-3PAPISID,Google.com.,"Utilizado para fins de segmentação para construir um perfil dos interesses do visitante do site, a fim de mostrar publicidade relevante e personalizada do Google",Google,Targeting/Publicidade,1 ano 10 meses 24 dias
__Secure-3PSID,Google.com.,"Utilizado para fins de segmentação para construir um perfil dos interesses do visitante do site, a fim de mostrar publicidade relevante e personalizada do Google",Google,Targeting/Publicidade,1 ano 11 meses 27 dias
__Secure-APISID,Google.com.,"Utilizado para fins de segmentação para construir um perfil dos interesses do visitante do site, a fim de mostrar publicidade relevante e personalizada do Google",Google,Targeting/Publicidade,6 Meses 17 Dias
__Secure-HSID,Google.com.,"utilizamos cookies de segurança para autenticar usuários, evitar o uso fraudulento de credenciais de login e proteger os dados do usuário de partes não autorizadas",Google,Necessário,6 Meses 17 Dias
__Secure-SSID,Google.com.,"utilizamos cookies de segurança para autenticar usuários, evitar o uso fraudulento de credenciais de login e proteger os dados do usuário de partes não autorizadas",Google,Necessário,6 Meses 17 Dias
__utma,Capgemini.com,utilizado para distinguir usuários e sessões. o cookie é criado quando a biblioteca javascript é executada e não existe nenhum __utma cookies existentes. o cookie é atualizado toda vez que os dados são enviados para o Google Analytics.,google analytics,Estatística,1 ano 11 meses 24 dias
__utmv,Capgemini.com,Utilizado para armazenar dados de variável personalizados em nível de visitante. Este cookie é criado quando um desenvolvedor usa o método _setCustomVar com uma variável personalizada de nível de visitante. Este cookie também foi usado para o método _setVar depreciado. O cookie é atualizado sempre que os dados são enviados para o Google Analytics.,google analytics,Estatística,1 ano 11 meses 24 dias
__utmz,Capgemini.com,armazena a fonte de tráfego ou campanha que explica como o usuário chegou ao seu site. o cookie é criado quando a biblioteca javascript é executada e é atualizado toda vez que os dados são enviados para o Google Analytics.,google analytics,Estatística,5 meses 24 dias
_fbp,Capgemini.com,"Utilizado pelo Facebook para entregar uma série de produtos de publicidade, como lances em tempo real de anunciantes de terceiros",facebook,Targeting/Publicidade,2 Meses 30 Dias
_fbp,Facebook,"utilizado pelo Facebook para fornecer uma série de produtos de publicidade, como lances terciários de anunciantes em tempo real",facebook,Targeting/Publicidade,3 meses
_ga,Capgemini.com,usado para distinguir usuários.,google analytics,Estatística,1 ano 11 Meses 30 Dias
_ga,Twitter.com,Utilizado para distinguir usuários.,twitter,Estatística,1 ano 11 meses 22 dias
_gac_UA-105264421-1,Capgemini.com,"Contém informações relacionadas à campanha para o usuário. Se você vinculou suas contas do Google Analytics e Google Ads, as tags de conversão do site do Google Ads lerão este cookie a menos que você opte por sair.",google analytics,Targeting/Publicidade,2 Meses 3 Dias
_gac_UA-105331519-21,Capgemini.com,"Contém informações relacionadas à campanha para o usuário. Se você vinculou suas contas do Google Analytics e Google Ads, as tags de conversão do site do Google Ads lerão este cookie a menos que você opte por sair.",google analytics,Targeting/Publicidade,2 Meses 3 Dias
_gat,Google Analytics,usado pelo Google Analytics para reduzir a taxa de solicitação,google analytics,Necessário,1 Dia
