Información de Cookies,Dominio,Descripción,Categoría,Categorización,Fecha de Expiración
__aza_perm,Azalead Publisher,,Azalead Publisher,Segmentación/Publicidad,1 año
__Secure-3PAPISID,.google.com,Se utiliza con fines de segmentación para crear un perfil del que visita el sitio web cuyo objetivo es mostrar pubilidad relevante y personalizada de Google.,Google,Segmentación/Publicidad,1 año 10 mesess 24 días
__Secure-3PSID,.google.com,Se utiliza con fines de segmentación para crear un perfil del que visita el sitio web cuyo objetivo es mostrar pubilidad relevante y personalizada de Google.,Google,Segmentación/Publicidad,1 año 11 meses 27 días
__Secure-APISID,.google.com,Se utiliza con fines de segmentación para crear un perfil del que visita el sitio web cuyo objetivo es mostrar pubilidad relevante y personalizada de Google.,Google,Segmentación/Publicidad,6 meses 17 días
__Secure-HSID,.google.com,"Utilizamos cookies de seguridad para autenticar a los usuarios, evitar el uso fraudulento de credenciales de inicio de sesión y proteger los datos de los usuarios de terceros no autorizados.",Google,Necesario,6 meses 17 días
__Secure-SSID,.google.com,"Utilizamos cookies de seguridad para autenticar a los usuarios, evitar el uso fraudulento de credenciales de inicio de sesión y proteger los datos de los usuarios de terceros no autorizados.",Google,Necesario,6 meses 17 días
__utma,.capgemini.com,Se utiliza para distinguir usuarios y sesiones. La cookie es creada cuando se ejecuta la biblioteca de Javascript y cuando no existen cookies _utma. La cookie se actualiza cada vez que se envían datos a Google Analytics.,Google Analytics,Estático,1 año 11 meses 24 días
__utmv,.capgemini.com,Se utiliza para almacenar datos variables y customizados a nivel de visitante. Esta cookie es creada cuando un desarrollador utiliza el método _setCustomVar con una variable y customizada a nivel visitante. Esta cookie también fue utilizada para el método obsoleto _setVar. La cookie se actualiza cada vez que se envían datos a Google Analytics.,Google Analytics,Estático,1 año 11 meses 24 días
__utmz,.capgemini.com,Almacena la fuente de tráfico o campaña que explica cómo el usuario llegó a su sitio. La cookie es creada cuando se ejecuta la biblioteca javascript y se actualiza cada vez que se envían datos a Google Analytics.,Google Analytics,Estático,5 meses 24 días
_fbp,.capgemini.com,"Utilizado por Facebook para ofrecer una serie de productos publicitarios, como ofertas en tiempo real de anunciantes externos",facebook,Segmentación/Publicidad,2 meses 30 días
_fbp,Facebook,"Utilizado por Facebook para ofrecer una serie de productos publicitarios, como ofertas en tiempo real de anunciantes externos
 ad vertisers.",Facebook,Segmentación/Publicidad,3 meses
_ga,.capgemini.com,Utilizada para distinguir usuarios.,Google Analytics,Estático,1 año 11 meses 30 días
_ga,Google Analytics,Registra una identificación única que se utiliza para generar datos estadísticos sobre cómo el visitante utiliza el sitio web.,Google Analytics,Estático,2 años
_gac_UA-105264421-1,.capgemini.com,"Contiene información relacionada con la campaña para el usuario. Si has vinculado tus cuentas de Google Analytics y Google Ads, las etiquetas de conversión del sitio web de Google Ads leerán esta cookie a menos que optes por no participar.",Google Analytics,Segmentación/Publicidad,2 meses 3 días
_gac_UA-105331519-21,.capgemini.com,"Contiene información relacionada con la campaña para el usuario. Si has vinculado tus cuentas de Google Analytics y Google Ads, las etiquetas de conversión del sitio web de Google Ads leerán esta cookie a menos que optes por no participar.",Google Analytics,Segmentación/Publicidad,2 meses 3 días
_gat,Google Analytics,Utilizado por Google Analytics para limitar la tasa de solicitud,Google Analytics,Necesario,1 día
_gat_UA-105264421-1,.capgemini.com,"Contiene información relacionada con la campaña para el usuario. Si has vinculado tus cuentas de Google Analytics y Google Ads, las etiquetas de conversión del sitio web de Google Ads leerán esta cookie a menos que optes por no participar.",Google Analytics,Segmentación/Publicidad,0 días
_gat_UA-105331519-1,.capgemini.com,"Contiene información relacionada con la campaña para el usuario. Si has vinculado tus cuentas de Google Analytics y Google Ads, las etiquetas de conversión del sitio web de Google Ads leerán esta cookie a menos que optes por no participar.",Google Analytics,Segmentación/Publicidad,0 días
_gcl_au,.capgemini.com,Utilizado por Google AdSense para experimentar con la eficiencia publicitaria en los sitios web que utilizan sus servicios,Google AdSense,Segmentación/Publicidad,15 días
_gcl_au,Google AdSense,"Utilizado por Google AdSense para experimentar eficiencia publicitaria en los sitios web que utilizan sus servicios. Es la cookie de origen para la funcionalidad de ""Conversion Linker"": toma información en clics de anuncios y la almacena en una cookie de origen para que las conversiones puedan atribuirse fuera de la página de aterrizaje.
 Used by Google AdSense for experimenting with advertisement efficiency across web sites using their services.It's the first party cookie for ""Conversion Linker"" functionality - it takes information in ad clicks and stores it in a first-party cookie so that conversions can be attributed outside the landing page.",Google AdSense,Segmentación/Publicidad,3 meses
_gcl_aw,.capgemini.com,Utilizado por Google AdSense para experimentar con la eficiencia publicitaria en los sitios web que utilizan sus servicios,Google AdSense,Segmentación/Publicidad,2 meses 3 días
_gid,.capgemini.com,Utilizado para distinguir usuarios.,Google Analytics,Estático,1 día
_gid,Google Analytics,Registra una identificación única que se utiliza para generar datos estadísticos sobre como el visitante utiliza el sitio web.,Google Analytics,Estático,1 día
_hjid,.capgemini.com,"La cookie Hotjar se establece cuando el cliente llega por primera vez a una página con el script Hotjar. Se utiliza para conservar la identificación del usuario de forma aleatoria, exclusiva de ese sitio en el navegador. Esto garantiza que el comportamiento en visitas posteriores al mismo sitio se atribuirá al mismo ID de usuario.",Hotjar,Estático,9 meses 7 días
_hjid,Hotjar cookie,Establece un ID único para la sesión. Esto permite que el sitio web obtenga datos sobre el comportamiento de los visitantes con fines estadísticos.,Hotjar cookie,Estático,1 año
_hjTLDTest,Hotjar cookie,,hotjar,Estático,Sesión
_pk_id#,MATOMO/Azalead,"Recopila estadísticas sobre las visitas del usuario al sitio web, como el número de visitas, el tiempo promedio de permanencia en el sitio y las páginas que ha leído.",MATOMO/Azalead,Estático,1 año
_pk_ses#,MATOMO/Azalead,Utilizado por la plataforma Piwik Analytics para rastrear las solicitudes de página del visitante durante la sesión.,MATOMO/Azalead,Estático,1 día
1P_JAR,.gstatic.com,"Google utiliza estas cookies para mostrar anuncios personalizados en los sitios de Google, basados en búsquedas recientes e interacciones anteriores.",Google,Segmentación/Publicidad,9 días
act,.facebook.com,Esta es una cookie de Facebook utilizada para su análisis e investigación.,facebook,Segmentación/Publicidad,Sesión
ads/ga-audiences,Google Adword,Utilizado por Google AdWords para volver a atraer a los visitantes que probablemente se convertirán en clientes en función del visitante. El comportamiento online en todos los sitios web.,Google Adword,Segmentación/Publicidad,Sesión
ads_prefs,.twitter.com,"Estas cookies nos permiten rastrear la actividad de los visitantes desde nuestros anuncios en Twitter, en nuestro sitio web, y también permiten a los usuarios compartir contenido de nuestros sitios web. Las cookies no nos proporcionan información confidencial relacionada con tu cuenta.",twitter,Segmentación/Publicidad,4 años 10 meses 22 días
ANID,.google.com,"La cookie ""ANID"" se utiliza para la publicidad que se publica en la web y se almacena en google.com.",Google,Segmentación/Publicidad,1 año 9 meses 16 días
APISID,.google.com,"La cookie ""APISID"" se utiliza para reproducir videos de YouTube integrados en el sitio web.",Google,Funcional,1 año 9 meses 27 días
bcookie,.linkedin.com,Esta es una cookie propia de Microsoft MSN para compartir el contenido del sitio web a través de las redes sociales.,microsoft,Funcional,1 año 11 meses 4 días
bcookie,Linkedin,"utilizado por el servicio de redes sociales, LinkedIn, para rastrear el uso de servicios integrados",Linkedin,Segmentación/Publicidad,2 años
bscookie,Linkedin,"utilizado por el servicio de redes sociales, LinkedIn, para rastrear el uso de servicios integrados",Linkedin,Segmentación/Publicidad,2 años
c_user,.facebook.com,Cookie está siendo utilizada por Facebook,facebook,Funcional,2 años 30 días
CONSENT,.google.com,Esta cookie lleva a cabo información sobre cómo el usuario final utiliza el sitio web y cualquier publicidad que haya visto antes de visitar dicho sitio web.,Google,Segmentación/Publicidad,17 años 11 meses 26 días
cookie_info,www.capgemini.com,"GUIÓN DE INFORMACIÓN DE COOKIES
 ES UN JAVASCRIPT LIGERO PARA ALERTAR A LOS USUARIOS
 ACERCA DEL USO DE COOKIES EN SU SITIO WEB",cookieinfo,Necesario,9 años 10 meses 25 días
csrf_same_site,.twitter.com,"Estas son cookies de Twitter que se utilizan en sitios web con feeds y / o funcionalidades de intercambio de Twitter. Para obtener más información, consulte https://help.twitter.com/en/rules-and-policies/twitter-cookies",twitter,Funcional,10 meses 23 días
csrf_same_site_set,.twitter.com,"Estas son cookies de Twitter que se utilizan en sitios web con feeds y / o funcionalidades de intercambio de Twitter. Para obtener más información, consulte https://help.twitter.com/en/rules-and-policies/twitter-cookies",twitter,Funcional,10 meses 22 días
datr,.facebook.com,El propósito de la cookie datr es identificar el navegador web que se utiliza para conectarse a Facebook independientemente del usuario que haya iniciado sesión. Esta cookie desempeña un papel clave en las funciones de seguridad e integridad del sitio de Facebook.,facebook,Funcional,1 año 10 meses 19 días
dpr,.facebook.com,Facebook ** utiliza esta cookie para su rendimiento.,facebook,Estático,7 días
fr,.facebook.com,Cookie está siendo utilizada por Facebook,facebook,Segmentación/Publicidad,2 meses 30 días
gtm_auth,www.googletagmanager.com,Estas cookies recopilan datos analíticos sobre el uso del sitio. Para más información:,gtm,Estático,Sesión
gtm_debug,www.googletagmanager.com,Estas cookies recopilan datos analíticos sobre el uso del sitio. Para más información:,gtm,Estático,Sesión
gtm_preview,www.googletagmanager.com,Estas cookies recopilan datos analíticos sobre el uso del sitio. Para más información:,gtm,Estático,Sesión
guest_id,.twitter.com,Twitter establece esta cookie para identificar y rastrear al visitante del sitio web.,twitter,Segmentación/Publicidad,1 año 10 meses 23 días
HSID,.google.com,Permite a Google recopilar información del usuario para videos alojados en YouTube,Google,Segmentación/Publicidad,1 año 9 meses 27 días
i/adsct,Twitter,Twitter.com utiliza la cookie para determinar la cantidad de visitantes que acceden al sitio web a través del contenido publicitario de teitter,Twitter,Segmentación/Publicidad,
IDE,Doubleclick,Utilizado por Google DoubleClick para registrar e informar las acciones del usuario del sitio web después de ver o hacer clic en uno de los anuncios del anunciante con el fin de medir la eficacia de un anuncio y presentar anuncios dirigidos al usuario.,Doubleclick,Segmentación/Publicidad,1 año
JSESSIONID,.nr-data.net,Cookie utilizada para grabar la sesión del usuario.,Google,Necesario,Sesión
JSESSIONID,,Conserva los estados de los usuarios en las solicitudes de página.,NA,Necesario,Sesión
